"Date","Site.Name","COUNTY","SITE_LATITUDE_mean","SITE_LONGITUDE_mean","month","year","Ozone","PM2.5"
NA,"Bryson City","Swain",35.434767,-83.442133,NA,NA,35.5836653386454,30.627802690583
NA,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,NA,39.1168831168831,15.6068111455108
NA,"Clemmons Middle","Forsyth",36.026,-80.342,NA,NA,43.1239837398374,36.7971391417425
NA,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,NA,40.6988188976378,33.5607580824972
NA,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,NA,44.7504873294347,13.984
NA,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,NA,NA,40.4574616457462,33.3478655767484
NA,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,NA,44.9341563786008,32.7505285412262
NA,"Leggett","Edgecombe",35.988278,-77.5843,NA,NA,39.2215447154472,26.0650289017341
NA,"Linville Falls","Avery",35.972347,-81.933072,NA,NA,38.3930753564155,18.2794117647059
NA,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,NA,45.8668076109937,29.1416309012876
NA,"Millbrook School","Wake",35.856111,-78.574167,NA,NA,38.6134453781513,37.5676975945017
NA,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,NA,41.6414686825054,27.2654761904762
NA,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,NA,40.3384912959381,33.0269503546099
